model_name,device,dtype,input_length,max_new_tokens,quant_bits,trial,total_time_sec,generated_tokens,tokens_per_sec,decode_tokens_per_sec,peak_memory_mb,prefill_sec,decode_sec,ttft_sec,oom
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1536,128,8,3,15.22731310800009,128,8.405947857784028,8.508811676646088,2412.8564453125,0.18408441000008224,15.043228698000007,0.18408441000008224,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1536,128,4,1,49.03863569899988,128,2.610186808329386,2.620188996145032,2404.6064453125,0.18719781099991906,48.851437887999964,0.18719781099991906,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1536,128,4,2,49.12247544799982,128,2.6057318739056328,2.6175728119661748,2404.6064453125,0.22221203799995237,48.900263409999866,0.22221203799995237,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1536,128,4,3,49.065464262000205,128,2.6087595812097986,2.620226020431218,2404.6064453125,0.21471665400008533,48.85074760800012,0.21471665400008533,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1536,128,3,1,15.182992993000198,128,8.430485350221247,8.53170185637066,2412.8564453125,0.1801246140000785,15.00286837900012,0.1801246140000785,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1536,128,3,2,15.266189005999877,128,8.384541809988976,8.485891851770148,2412.8564453125,0.18232955600001333,15.083859449999864,0.18232955600001333,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1536,128,3,3,15.165390455999841,128,8.440270652534352,8.543392267572337,2412.8564453125,0.18305135799982963,14.982339098000011,0.18305135799982963,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,128,8,1,15.190694271999973,128,8.42621131780225,8.56982118611684,2514.3642578125,0.25455999099995097,14.936134281000022,0.25455999099995097,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,128,8,2,15.408508447000031,128,8.307098668263444,8.447662253593077,2514.3642578125,0.2563875220000682,15.152120924999963,0.2563875220000682,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,128,8,3,15.225913953999907,128,8.406720305047692,8.548455647115789,2514.3642578125,0.2524491219999163,14.97346483199999,0.2524491219999163,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,128,4,1,48.914083724999955,128,2.616833235998639,2.6306432550913152,2503.3642578125,0.25678298599996197,48.65730073899999,0.25678298599996197,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,128,4,2,48.8886558239999,128,2.6181942997328966,2.634913261843874,2503.3642578125,0.3102066379999542,48.57844918599994,0.3102066379999542,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,128,4,3,49.2502771290001,128,2.598970147208159,2.6152006068649425,2503.3642578125,0.3056571009999516,48.944620028000145,0.3056571009999516,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,128,3,1,15.299440050000157,128,8.366319262775809,8.500344913149556,2514.3642578125,0.24122755300004428,15.058212497000113,0.24122755300004428,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,128,3,2,15.255157133999774,128,8.390605149174197,8.52753509042494,2514.3642578125,0.24495797999998103,15.010199153999793,0.24495797999998103,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,128,3,3,15.316466229999833,128,8.357019045900472,8.493785191338004,2514.3642578125,0.2466243259998464,15.069841903999986,0.2466243259998464,False
