model_name,device,dtype,input_length,max_new_tokens,quant_bits,trial,total_time_sec,generated_tokens,tokens_per_sec,peak_memory_mb,prefill_sec,decode_sec,ttft_sec,oom
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,32,4,2,4.961540386999957,32,6.44960990015222,6.631286818744896,2306.3486328125,0.13593098799998415,4.825609398999973,0.13593098799998415,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,32,4,3,4.557320650000065,32,7.021669629500295,7.268528055748437,2306.3486328125,0.15477865600001905,4.402541994000046,0.15477865600001905,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,32,3,1,2.036831946999996,32,15.710672668470307,16.778140633032457,2311.8486328125,0.1295884269999874,1.9072435200000086,0.1295884269999874,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,32,3,2,1.949789838000072,32,16.412025222586486,17.322502202811577,2311.8486328125,0.10248165900003414,1.8473081790000379,0.10248165900003414,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,32,3,3,2.1548835560000157,32,14.849990344443357,15.757478593023498,2311.8486328125,0.12410180300003049,2.030781752999985,0.12410180300003049,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,32,8,1,2.17825639900002,32,14.690648912905917,16.669746237322773,2514.3642578125,0.258611099999996,1.919645299000024,0.258611099999996,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,32,8,2,2.109163894000062,32,15.171888771199995,17.321962686028204,2514.3642578125,0.2617981780000491,1.847365716000013,0.2617981780000491,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,32,8,3,2.1264456619999237,32,15.048585802989189,17.159356983019062,2514.3642578125,0.26157391699996424,1.8648717449999594,0.26157391699996424,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,32,4,1,4.671260962999895,32,6.8503986939427,7.262906146546128,2503.3642578125,0.2653111469999203,4.405949815999975,0.2653111469999203,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,32,4,2,4.754455077999978,32,6.730529466577946,7.140719683181569,2503.3642578125,0.27311406199999055,4.481341015999988,0.27311406199999055,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,32,4,3,5.122161326000082,32,6.24736277585949,6.597273534993893,2503.3642578125,0.27167273700001715,4.850488589000065,0.27167273700001715,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,32,3,1,2.324077213999999,32,13.768905700393832,15.514944716923766,2514.3642578125,0.2615497230000301,2.062527490999969,0.2615497230000301,False
